1.
~$ ps aux
USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.1 119568  5608 ?        Ss   08:07   0:01 /sbin/init spla
root         2  0.0  0.0      0     0 ?        S    08:07   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    08:07   0:00 [ksoftirqd/0]
root         4  0.0  0.0      0     0 ?        S    08:07   0:01 [kworker/0:0]
root         5  0.0  0.0      0     0 ?        S<   08:07   0:00 [kworker/0:0H]
root         6  0.0  0.0      0     0 ?        S    08:07   0:00 [kworker/u8:0]
root         7  0.0  0.0      0     0 ?        S    08:07   0:00 [rcu_sched]
root         8  0.0  0.0      0     0 ?        S    08:07   0:00 [rcu_bh]
root         9  0.0  0.0      0     0 ?        S    08:07   0:00 [migration/0]
root        10  0.0  0.0      0     0 ?        S    08:07   0:00 [watchdog/0]
root        11  0.0  0.0      0     0 ?        S    08:07   0:00 [watchdog/1]
root        12  0.0  0.0      0     0 ?        S    08:07   0:00 [migration/1]
root        13  0.0  0.0      0     0 ?        S    08:07   0:00 [ksoftirqd/1]
root        15  0.0  0.0      0     0 ?        S<   08:07   0:00 [kworker/1:0H]
root        16  0.0  0.0      0     0 ?        S    08:07   0:00 [watchdog/2]
root        17  0.0  0.0      0     0 ?        S    08:07   0:00 [migration/2]
root        18  0.0  0.0      0     0 ?        S    08:07   0:00 [ksoftirqd/2]
root        20  0.0  0.0      0     0 ?        S<   08:07   0:00 [kworker/2:0H]
root        21  0.0  0.0      0     0 ?        S    08:07   0:00 [watchdog/3]
root        22  0.0  0.0      0     0 ?        S    08:07   0:00 [migration/3]
root        23  0.0  0.0      0     0 ?        S    08:07   0:00 [ksoftirqd/3]
root        25  0.0  0.0      0     0 ?        S<   08:07   0:00 [kworker/3:0H]
root        26  0.0  0.0      0     0 ?        S    08:07   0:00 [kdevtmpfs]
root        27  0.0  0.0      0     0 ?        S<   08:07   0:00 [netns]
root        28  0.0  0.0      0     0 ?        S<   08:07   0:00 [perf]
root        29  0.0  0.0      0     0 ?        S    08:07   0:00 [khungtaskd]
root        30  0.0  0.0      0     0 ?        S<   08:07   0:00 [writeback]
root        31  0.0  0.0      0     0 ?        SN   08:07   0:00 [ksmd]
root        32  0.0  0.0      0     0 ?        SN   08:07   0:00 [khugepaged]
root        33  0.0  0.0      0     0 ?        S<   08:07   0:00 [crypto]
root        34  0.0  0.0      0     0 ?        S<   08:07   0:00 [kintegrityd]
root        35  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        36  0.0  0.0      0     0 ?        S<   08:07   0:00 [kblockd]
root        37  0.0  0.0      0     0 ?        S<   08:07   0:00 [ata_sff]
root        38  0.0  0.0      0     0 ?        S<   08:07   0:00 [md]
root        39  0.0  0.0      0     0 ?        S<   08:07   0:00 [devfreq_wq]
root        46  0.0  0.0      0     0 ?        S    08:07   0:00 [kswapd0]
root        47  0.0  0.0      0     0 ?        S<   08:07   0:00 [vmstat]
root        48  0.0  0.0      0     0 ?        S    08:07   0:00 [fsnotify_mark]
root        49  0.0  0.0      0     0 ?        S    08:07   0:00 [ecryptfs-kthre
root        65  0.0  0.0      0     0 ?        S<   08:07   0:00 [kthrotld]
root        66  0.0  0.0      0     0 ?        S<   08:07   0:00 [acpi_thermal_p
root        67  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        68  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        69  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        70  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        71  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        72  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        73  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        74  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        75  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        76  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        77  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        78  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        79  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        80  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        81  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        82  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        83  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        84  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        85  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        86  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        87  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        88  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        89  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        90  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root        96  0.0  0.0      0     0 ?        S<   08:07   0:00 [ipv6_addrconf]
root       109  0.0  0.0      0     0 ?        S<   08:07   0:00 [deferwq]
root       110  0.0  0.0      0     0 ?        S<   08:07   0:00 [charger_manage
root       114  0.0  0.0      0     0 ?        S    08:07   0:00 [kworker/1:2]
root       151  0.0  0.0      0     0 ?        S    08:07   0:00 [kworker/3:1]
root       152  0.0  0.0      0     0 ?        S<   08:07   0:00 [kpsmoused]
root       153  0.0  0.0      0     0 ?        S    08:07   0:00 [scsi_eh_0]
root       154  0.0  0.0      0     0 ?        S<   08:07   0:00 [scsi_tmf_0]
root       155  0.0  0.0      0     0 ?        S    08:07   0:00 [scsi_eh_1]
root       156  0.0  0.0      0     0 ?        S<   08:07   0:00 [scsi_tmf_1]
root       157  0.0  0.0      0     0 ?        S    08:07   0:00 [scsi_eh_2]
root       158  0.0  0.0      0     0 ?        S<   08:07   0:00 [scsi_tmf_2]
root       159  0.0  0.0      0     0 ?        S    08:07   0:00 [scsi_eh_3]
root       160  0.0  0.0      0     0 ?        S<   08:07   0:00 [scsi_tmf_3]
root       161  0.0  0.0      0     0 ?        S    08:07   0:00 [kworker/u8:3]
root       166  0.0  0.0      0     0 ?        S<   08:07   0:00 [bioset]
root       169  0.0  0.0      0     0 ?        S<   08:07   0:00 [ttm_swap]
root       191  0.0  0.0      0     0 ?        S<   08:07   0:00 [kworker/2:1H]
root       193  0.0  0.0      0     0 ?        S    08:07   0:00 [jbd2/sda4-8]
root       194  0.0  0.0      0     0 ?        S<   08:07   0:00 [ext4-rsv-conve
root       219  0.0  0.1  32128  4040 ?        Ss   08:07   0:00 /lib/systemd/sy
root       223  0.0  0.0      0     0 ?        S    08:07   0:00 [kauditd]
root       262  0.0  0.0      0     0 ?        S<   08:07   0:00 [kworker/0:1H]
root       267  0.0  0.1  46212  5372 ?        Ss   08:07   0:01 /lib/systemd/sy
root       286  0.0  0.0      0     0 ?        S<   08:07   0:00 [kworker/1:1H]
root       370  0.0  0.0      0     0 ?        S    08:07   0:00 [irq/47-mei_me]
systemd+   439  0.0  0.0 102384  2568 ?        Ssl  08:07   0:00 /lib/systemd/sy
root       452  0.0  0.0      0     0 ?        S<   08:07   0:00 [cfg80211]
root       495  0.0  0.0      0     0 ?        S<   08:07   0:00 [kworker/u9:0]
root       496  0.0  0.0      0     0 ?        S<   08:07   0:00 [hci0]
root       497  0.0  0.0      0     0 ?        S<   08:07   0:00 [hci0]
root       498  0.0  0.0      0     0 ?        S<   08:07   0:00 [kworker/u9:1]
root       502  0.1  0.0      0     0 ?        S    08:07   0:01 [irq/50-iwlwifi
root       505  0.0  0.0      0     0 ?        S<   08:07   0:00 [kworker/3:1H]
root       510  0.0  0.0      0     0 ?        S<   08:07   0:00 [kvm-irqfd-clea
root       691  0.0  0.0      0     0 ?        S<   08:07   0:00 [kmemstick]
root       692  0.0  0.0      0     0 ?        S    08:07   0:00 [rtsx_usb_ms_1]
root       916  0.0  0.0   4400  1304 ?        Ss   08:07   0:00 /usr/sbin/acpid
whoopsie   917  0.0  0.3 373980 14344 ?        Ssl  08:07   0:00 /usr/bin/whoops
root       918  0.0  0.2 337464  8520 ?        Ssl  08:07   0:00 /usr/sbin/Modem
root       922  0.0  0.0  30536  3032 ?        Ss   08:07   0:00 /usr/sbin/cron 
root       924  0.0  0.1  31956  4208 ?        Ss   08:07   0:00 /usr/lib/blueto
message+   925  0.0  0.1  44340  5056 ?        Ss   08:07   0:00 /usr/bin/dbus-d
root       951  0.0  0.4 223768 18412 ?        Ssl  08:07   0:00 /usr/lib/snapd/
root       954  0.0  0.4 450676 16464 ?        Ssl  08:07   0:00 /usr/sbin/Netwo
root       967  0.0  0.0  28636  3156 ?        Ss   08:07   0:00 /lib/systemd/sy
root       970  0.0  0.1 277400  6456 ?        Ssl  08:07   0:00 /usr/lib/accoun
syslog     971  0.0  0.0 256396  3516 ?        Ssl  08:07   0:00 /usr/sbin/rsysl
root       986  0.0  0.2 167960  8724 ?        Ssl  08:07   0:00 /usr/sbin/therm
